Code,Borough,BoroughLatitude,BoroughLongitude
E09000001,City of London,51.514994,-0.097278
E09000002,Barking and Dagenham,51.54038,0.127734
E09000003,Barnet,51.617957,-0.185435
E09000004,Bexley,51.457192,0.14634
E09000005,Brent,51.552011,-0.260954
E09000006,Bromley,51.366349,0.053534
E09000007,Camden,51.553257,-0.169305
E09000008,Croydon,51.374494,-0.073762
E09000009,Ealing,51.522792,-0.331597
E09000010,Enfield,51.652181,-0.081471
E09000011,Greenwich,51.472519,0.047997
E09000012,Hackney,51.549531,-0.058319
E09000013,Hammersmith and Fulham,51.494979,-0.223883
E09000014,Haringey,51.590452,-0.103303
E09000015,Harrow,51.59284,-0.33471
E09000016,Havering,51.559135,0.235182
E09000017,Hillingdon,51.527591,-0.442041
E09000018,Hounslow,51.472776,-0.385711
E09000019,Islington,51.546236,-0.103708
E09000020,Kensington and Chelsea,51.494892,-0.192122
E09000021,Kingston upon Thames,51.383254,-0.288948
E09000022,Lambeth,51.45453,-0.119868
E09000023,Lewisham,51.44517,-0.019637
E09000024,Merton,51.414049,-0.202783
E09000025,Newham,51.530213,0.037653
E09000026,Redbridge,51.576643,0.066361
E09000027,Richmond upon Thames,51.462878,-0.283627
E09000028,Southwark,51.474152,-0.075053
E09000029,Sutton,51.363044,-0.170553
E09000030,Tower Hamlets,51.521016,-0.050006
E09000031,Waltham Forest,51.600897,-0.016498
E09000032,Wandsworth,51.443871,-0.168111
E09000033,Westminster,51.520088,-0.16997
